REGION,DISTRICT,YEAR,CROP,AREA (HA),YIELD (MT/HA),PRODUCTION (MT)
CENTRAL,AGONA,2008,MAIZE,6118.20,2.73,16702.69
CENTRAL,UPPER DENKYIRA,2008,RICE,726.00,1.20,871.20
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,2008,RICE,555.50,1.20,666.60
CENTRAL,ASSIN SOUTH,2008,RICE,550.00,1.20,660.00
CENTRAL,ASSIN NORTH,2008,RICE,1886.50,1.20,2263.80
CENTRAL,ABURA-ASEBU-KWAMANKESE,2008,RICE,128.70,1.37,175.68
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,2008,RICE,42.90,1.20,51.48
CENTRAL,GOMOA,2008,RICE,45.00,2.90,130.50
CENTRAL,UPPER DENKYIRA,2008,CASSAVA,10780.00,20.54,221421.20
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,2008,CASSAVA,9719.60,32.00,311027.20
CENTRAL,ASSIN SOUTH,2008,CASSAVA,4061.20,12.69,51536.63
CENTRAL,ASSIN NORTH,2008,CASSAVA,10230.00,13.06,133624.26
CENTRAL,ABURA-ASEBU-KWAMANKESE,2008,CASSAVA,5011.27,9.07,45462.24
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,2008,CASSAVA,4473.70,13.35,59723.90
CENTRAL,MFANTSIMAN,2008,CASSAVA,11004.35,9.44,103881.06
CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,2008,CASSAVA,14931.40,13.80,206053.32
CENTRAL,AJUMAKO-ENYAN-ESIAM,2008,CASSAVA,7150.00,19.32,138138.00
CENTRAL,AWUTU-EFUTU-SENYA,2008,CASSAVA,30782.40,13.13,404019.00
CENTRAL,GOMOA,2008,CASSAVA,3824.00,14.77,56480.48
CENTRAL,CAPE COAST,2008,CASSAVA,7488.00,16.47,123327.36
CENTRAL,AGONA,2008,CASSAVA,6421.80,21.44,137689.81
CENTRAL,UPPER DENKYIRA,2008,YAM,429.00,5.80,2488.20
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,2008,YAM,371.80,4.50,1673.10
CENTRAL,ASSIN SOUTH,2008,YAM,77.00,5.45,419.65
CENTRAL,ASSIN NORTH,2008,YAM,201.30,5.51,1109.67
CENTRAL,ABURA-ASEBU-KWAMANKESE,2008,YAM,103.50,5.36,554.24
CENTRAL,AJUMAKO-ENYAN-ESIAM,2008,YAM,865.70,4.40,3809.08
CENTRAL,AWUTU-EFUTU-SENYA,2008,YAM,234.30,5.57,1303.88
CENTRAL,GOMOA,2008,YAM,22.50,5.50,123.75
CENTRAL,AGONA,2008,YAM,597.30,9.07,5418.71
EASTERN,BIRIM SOUTH,2008,MAIZE,8500.00,2.10,17850.00
EASTERN,WEST AKIM,2008,MAIZE,8600.00,2.20,18920.00
EASTERN,SUHUM KRABOA COALTAR,2008,MAIZE,8304.00,1.90,15777.60
EASTERN,AKUAPIM SOUTH,2008,MAIZE,3800.00,1.60,6080.00
EASTERN,AKUAPIM NORTH,2008,MAIZE,9350.00,2.00,18700.00
EASTERN,NEW JUABEN,2008,MAIZE,3471.00,2.30,7983.30
EASTERN,YILO KROBO,2008,MAIZE,9500.00,2.10,19950.00
EASTERN,EAST AKIM,2008,MAIZE,2500.00,1.80,4500.00
EASTERN,ATIWA,2008,MAIZE,4500.00,1.70,7650.00
EASTERN,KWAEBIBIREM,2008,MAIZE,6500.00,2.30,14950.00
EASTERN,BIRIM NORTH,2008,MAIZE,7000.00,2.10,14700.00
EASTERN,KWAHU WEST,2008,MAIZE,2324.00,2.30,5345.20
EASTERN,KWAHU WEST,2008,MAIZE,4100.00,1.60,6560.00
EASTERN,FANTEAKWA,2008,MAIZE,13260.00,1.80,23868.00
EASTERN,AFRAM PLAINS,2008,MAIZE,28800.00,2.10,60480.00
EASTERN,ASUOGYAMAN,2008,MAIZE,8757.00,1.60,14011.20
EASTERN,MANYA KROBO,2008,MAIZE,13045.00,1.80,23481.00
EASTERN,BIRIM SOUTH,2008,RICE,4000.00,2.40,9600.00
EASTERN,EAST AKIM,2008,RICE,0.50,1.50,0.75
EASTERN,ATIWA,2008,RICE,157.00,2.10,329.70
EASTERN,KWAEBIBIREM,2008,RICE,1200.00,3.30,3960.00
EASTERN,BIRIM NORTH,2008,RICE,689.00,3.00,2067.00
EASTERN,MANYA KROBO,2008,RICE,1000.00,1.80,1800.00
EASTERN,BIRIM SOUTH,2008,CASSAVA,15053.00,14.20,213752.60
EASTERN,WEST AKIM,2008,CASSAVA,12726.00,16.50,209979.00
EASTERN,SUHUM KRABOA COALTAR,2008,CASSAVA,12800.00,15.00,192000.00
EASTERN,AKUAPIM SOUTH,2008,CASSAVA,9200.00,26.00,239200.00
EASTERN,AKUAPIM NORTH,2008,CASSAVA,11900.00,20.00,238000.00
EASTERN,NEW JUABEN,2008,CASSAVA,6600.00,13.90,91740.00
EASTERN,YILO KROBO,2008,CASSAVA,8425.00,14.10,118792.50
EASTERN,EAST AKIM,2008,CASSAVA,9400.00,19.00,178600.00
EASTERN,ATIWA,2008,CASSAVA,6600.00,15.00,99000.00
EASTERN,KWAEBIBIREM,2008,CASSAVA,8500.00,20.00,170000.00
EASTERN,BIRIM NORTH,2008,CASSAVA,10026.00,16.00,160416.00
EASTERN,KWAHU WEST,2008,CASSAVA,8200.00,16.00,131200.00
EASTERN,KWAHU WEST,2008,CASSAVA,13671.00,15.30,209166.30
EASTERN,FANTEAKWA,2008,CASSAVA,11324.00,15.00,169860.00
EASTERN,AFRAM PLAINS,2008,CASSAVA,15465.00,13.20,204138.00
EASTERN,ASUOGYAMAN,2008,CASSAVA,11057.00,13.30,147058.10
EASTERN,MANYA KROBO,2008,CASSAVA,11419.00,13.70,156440.30
EASTERN,BIRIM SOUTH,2008,YAM,1300.00,13.00,16900.00
EASTERN,WEST AKIM,2008,YAM,700.00,19.70,13790.00
EASTERN,SUHUM KRABOA COALTAR,2008,YAM,350.00,15.40,5390.00
EASTERN,AKUAPIM SOUTH,2008,YAM,250.00,15.00,3750.00
EASTERN,AKUAPIM NORTH,2008,YAM,250.00,15.00,3750.00
EASTERN,NEW JUABEN,2008,YAM,300.00,15.00,4500.00
EASTERN,YILO KROBO,2008,YAM,1735.00,12.40,21514.00
EASTERN,EAST AKIM,2008,YAM,500.00,13.00,6500.00
EASTERN,ATIWA,2008,YAM,475.00,14.00,6650.00
EASTERN,KWAEBIBIREM,2008,YAM,300.00,14.00,4200.00
EASTERN,BIRIM NORTH,2008,YAM,800.00,12.00,9600.00
EASTERN,KWAHU WEST,2008,YAM,1250.00,13.50,16875.00
EASTERN,KWAHU WEST,2008,YAM,1150.00,14.00,16100.00
EASTERN,FANTEAKWA,2008,YAM,1498.00,13.60,20372.80
EASTERN,AFRAM PLAINS,2008,YAM,26000.00,19.40,504400.00
EASTERN,ASUOGYAMAN,2008,YAM,724.00,17.20,12452.80
EASTERN,MANYA KROBO,2008,YAM,1100.00,18.30,20130.00
VOLTA,NORTH TONGU,2008,MAIZE,1283.00,1.20,1539.60
VOLTA,SOUTH TONGU (SOGAKOPE),2008,MAIZE,1518.00,1.10,1669.80
VOLTA,AKATSI,2008,MAIZE,2571.00,1.50,3856.50
VOLTA,KETA,2008,MAIZE,677.00,1.00,677.00
VOLTA,KETU,2008,MAIZE,5400.00,1.20,6480.00
VOLTA,NORTH DAYI (KPANDO),2008,MAIZE,2522.00,1.52,3833.44
VOLTA,SOUTH DAYI,2008,MAIZE,1750.00,1.20,2100.00
VOLTA,HOHOE MUNICIPAL,2008,MAIZE,6800.00,1.70,11560.00
VOLTA,JASIKAN,2008,MAIZE,3040.00,1.90,5776.00
VOLTA,KADJEBI,2008,MAIZE,3072.00,1.80,5529.60
VOLTA,NKWANTA,2008,MAIZE,8200.00,1.90,15580.00
VOLTA,KRACHI WEST,2008,MAIZE,2200.00,2.20,4840.00
VOLTA,KRACHI EAST,2008,MAIZE,1570.00,2.00,3140.00
VOLTA,HO MUNICIPAL,2008,MAIZE,2756.00,1.26,3472.56
VOLTA,ADAKLU ANYIGBE,2008,MAIZE,1869.00,1.50,2803.50
VOLTA,NORTH TONGU,2008,RICE,1400.00,1.50,2100.00
VOLTA,SOUTH TONGU (SOGAKOPE),2008,RICE,110.00,1.60,176.00
VOLTA,KETU,2008,RICE,1400.00,5.00,7000.00
VOLTA,NORTH DAYI (KPANDO),2008,RICE,456.00,2.20,1003.20
VOLTA,SOUTH DAYI,2008,RICE,300.00,1.00,300.00
VOLTA,HOHOE MUNICIPAL,2008,RICE,5750.00,2.50,14375.00
VOLTA,JASIKAN,2008,RICE,1730.00,2.50,4325.00
VOLTA,KADJEBI,2008,RICE,1947.00,2.10,4088.70
VOLTA,NKWANTA,2008,RICE,2000.00,2.00,4000.00
VOLTA,KRACHI WEST,2008,RICE,1400.00,2.10,2940.00
VOLTA,KRACHI EAST,2008,RICE,1010.00,2.40,2424.00
VOLTA,HO MUNICIPAL,2008,RICE,381.00,2.00,762.00
VOLTA,ADAKLU ANYIGBE,2008,RICE,250.00,1.80,450.00
VOLTA,NORTH TONGU,2008,CASSAVA,2518.00,9.20,23165.60
VOLTA,SOUTH TONGU (SOGAKOPE),2008,CASSAVA,2580.00,10.00,25800.00
VOLTA,AKATSI,2008,CASSAVA,2625.00,11.90,31237.50
VOLTA,KETA,2008,CASSAVA,1260.00,7.80,9828.00
VOLTA,KETU,2008,CASSAVA,10165.00,10.90,110798.50
VOLTA,NORTH DAYI (KPANDO),2008,CASSAVA,4520.00,10.00,45200.00
VOLTA,SOUTH DAYI,2008,CASSAVA,1300.00,10.50,13650.00
VOLTA,HOHOE MUNICIPAL,2008,CASSAVA,9200.00,9.00,82800.00
VOLTA,JASIKAN,2008,CASSAVA,6350.00,15.00,95250.00
VOLTA,KADJEBI,2008,CASSAVA,4320.00,13.70,59184.00
VOLTA,NKWANTA,2008,CASSAVA,30300.00,17.00,515100.00
VOLTA,KRACHI WEST,2008,CASSAVA,11100.00,13.30,147630.00
VOLTA,KRACHI EAST,2008,CASSAVA,9300.00,15.00,139500.00
VOLTA,HO MUNICIPAL,2008,CASSAVA,3680.00,12.00,44160.00
VOLTA,ADAKLU ANYIGBE,2008,CASSAVA,1300.00,10.71,13923.00
VOLTA,NORTH DAYI (KPANDO),2008,YAM,600.00,8.50,5100.00
VOLTA,SOUTH DAYI,2008,YAM,35.00,9.00,315.00
VOLTA,HOHOE MUNICIPAL,2008,YAM,1300.00,8.00,10400.00
VOLTA,JASIKAN,2008,YAM,1200.00,11.00,13200.00
VOLTA,KADJEBI,2008,YAM,1021.00,9.80,10005.80
VOLTA,NKWANTA,2008,YAM,8600.00,17.50,150500.00
VOLTA,KRACHI WEST,2008,YAM,5800.00,13.00,75400.00
VOLTA,KRACHI EAST,2008,YAM,6100.00,13.00,79300.00
VOLTA,HO MUNICIPAL,2008,YAM,792.00,9.00,7128.00
VOLTA,ADAKLU ANYIGBE,2008,YAM,99.00,8.50,841.50
ASHANTI,BEKWAI MUNI (AMANSIE EAST),2008,MAIZE,4500.00,1.20,5400.00
ASHANTI,AMANSIE CENTRAL,2008,MAIZE,4360.00,1.20,5232.00
ASHANTI,AMANSIE WEST,2008,MAIZE,2670.00,1.20,3204.00
ASHANTI,EJURA SEKYEREDUMASE,2008,MAIZE,17500.00,1.25,21875.00
ASHANTI,SEKYERE WEST ,2008,MAIZE,10200.00,1.25,12750.00
ASHANTI,SEKYERE EAST,2008,MAIZE,9400.00,1.25,11750.00
ASHANTI,AFIGYA SEKYERE,2008,MAIZE,18001.00,1.30,23401.30
ASHANTI,AHAFO ANO NORTH,2008,MAIZE,16001.00,1.30,20801.30
ASHANTI,AHAFO ANO SOUTH,2008,MAIZE,9886.00,1.30,12851.80
ASHANTI,ATWIMA MPONUA,2008,MAIZE,3500.00,1.30,4550.00
ASHANTI,ATWIMA NWABIAGYA,2008,MAIZE,6556.00,1.30,8522.80
ASHANTI,EJUSU JUABEN,2008,MAIZE,3660.00,1.25,4575.00
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,2008,MAIZE,3800.00,1.25,4750.00
ASHANTI,KWABRE ,2008,MAIZE,1150.00,1.25,1437.50
ASHANTI,OFFINSO,2008,MAIZE,8240.00,1.25,10300.00
ASHANTI,ADANSI NORTH,2008,MAIZE,3750.00,1.20,4500.00
ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),2008,MAIZE,945.00,1.20,1134.00
ASHANTI,ADANSI  SOUTH,2008,MAIZE,5358.00,1.20,6429.60
ASHANTI,ASANTE AKIM NORTH,2008,MAIZE,7895.00,1.25,9868.75
ASHANTI,ASANTE AKIM SOUTH,2008,MAIZE,6650.00,1.25,8312.50
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,2008,MAIZE,1002.00,1.20,1202.40
ASHANTI,BEKWAI MUNI (AMANSIE EAST),2008,RICE,360.00,0.98,352.80
ASHANTI,AMANSIE CENTRAL,2008,RICE,30.00,1.00,30.00
ASHANTI,AMANSIE WEST,2008,RICE,180.00,1.00,180.00
ASHANTI,EJURA SEKYEREDUMASE,2008,RICE,850.00,1.20,1020.00
ASHANTI,SEKYERE WEST ,2008,RICE,26.00,1.00,26.00
ASHANTI,SEKYERE EAST,2008,RICE,160.00,1.00,160.00
ASHANTI,AFIGYA SEKYERE,2008,RICE,185.00,1.00,185.00
ASHANTI,AHAFO ANO NORTH,2008,RICE,350.00,1.20,420.00
ASHANTI,AHAFO ANO SOUTH,2008,RICE,555.00,1.40,777.00
ASHANTI,ATWIMA MPONUA,2008,RICE,740.00,1.10,814.00
ASHANTI,ATWIMA NWABIAGYA,2008,RICE,1010.00,1.30,1313.00
ASHANTI,EJUSU JUABEN,2008,RICE,520.00,1.40,728.00
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,2008,RICE,448.00,1.00,448.00
ASHANTI,KWABRE ,2008,RICE,135.00,0.85,114.75
ASHANTI,OFFINSO,2008,RICE,298.00,1.00,298.00
ASHANTI,ADANSI NORTH,2008,RICE,256.00,1.00,256.00
ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),2008,RICE,76.00,1.00,76.00
ASHANTI,ADANSI  SOUTH,2008,RICE,1400.00,1.10,1540.00
ASHANTI,ASANTE AKIM NORTH,2008,RICE,1350.00,1.10,1485.00
ASHANTI,ASANTE AKIM SOUTH,2008,RICE,355.00,1.00,355.00
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,2008,RICE,10.00,1.00,10.00
ASHANTI,BEKWAI MUNI (AMANSIE EAST),2008,CASSAVA,5880.00,10.10,59388.00
ASHANTI,AMANSIE CENTRAL,2008,CASSAVA,5680.00,8.33,47314.40
ASHANTI,AMANSIE WEST,2008,CASSAVA,3066.00,8.86,27164.76
ASHANTI,EJURA SEKYEREDUMASE,2008,CASSAVA,3250.00,6.74,21905.00
ASHANTI,SEKYERE WEST ,2008,CASSAVA,7650.00,10.56,80784.00
ASHANTI,SEKYERE EAST,2008,CASSAVA,5850.00,9.88,57798.00
ASHANTI,AFIGYA SEKYERE,2008,CASSAVA,7250.00,9.57,69382.50
ASHANTI,AHAFO ANO NORTH,2008,CASSAVA,6960.00,9.99,69530.40
ASHANTI,AHAFO ANO SOUTH,2008,CASSAVA,10002.00,9.15,91518.30
ASHANTI,ATWIMA MPONUA,2008,CASSAVA,5006.00,11.80,59070.80
ASHANTI,ATWIMA NWABIAGYA,2008,CASSAVA,9655.00,12.11,116922.05
ASHANTI,EJUSU JUABEN,2008,CASSAVA,5660.00,10.61,60052.60
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,2008,CASSAVA,4860.00,9.59,46607.40
ASHANTI,KWABRE ,2008,CASSAVA,6160.00,11.39,70162.40
ASHANTI,OFFINSO,2008,CASSAVA,6200.00,10.54,65348.00
ASHANTI,ADANSI NORTH,2008,CASSAVA,4908.00,10.78,52908.24
ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),2008,CASSAVA,305.00,10.21,3114.05
ASHANTI,ADANSI  SOUTH,2008,CASSAVA,4850.00,12.22,59267.00
ASHANTI,ASANTE AKIM NORTH,2008,CASSAVA,4500.00,13.34,60030.00
ASHANTI,ASANTE AKIM SOUTH,2008,CASSAVA,6750.00,9.60,64800.00
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,2008,CASSAVA,2500.00,8.86,22150.00
ASHANTI,BEKWAI MUNI (AMANSIE EAST),2008,YAM,298.00,11.43,3406.14
ASHANTI,AMANSIE CENTRAL,2008,YAM,760.00,9.27,7045.20
ASHANTI,AMANSIE WEST,2008,YAM,850.00,8.91,7573.50
ASHANTI,EJURA SEKYEREDUMASE,2008,YAM,9680.00,14.68,142102.40
ASHANTI,SEKYERE WEST ,2008,YAM,6690.00,12.51,83691.90
ASHANTI,SEKYERE EAST,2008,YAM,3125.00,11.95,37343.75
ASHANTI,AFIGYA SEKYERE,2008,YAM,2155.00,11.69,25191.95
ASHANTI,AHAFO ANO NORTH,2008,YAM,790.00,10.51,8302.90
ASHANTI,AHAFO ANO SOUTH,2008,YAM,444.00,10.73,4764.12
ASHANTI,ATWIMA MPONUA,2008,YAM,460.00,11.85,5451.00
ASHANTI,ATWIMA NWABIAGYA,2008,YAM,1240.00,9.79,12139.60
ASHANTI,EJUSU JUABEN,2008,YAM,360.00,10.56,3801.60
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,2008,YAM,655.00,10.09,6608.95
ASHANTI,KWABRE ,2008,YAM,202.00,8.34,1684.68
ASHANTI,OFFINSO,2008,YAM,988.00,11.85,11707.80
ASHANTI,ADANSI NORTH,2008,YAM,570.00,9.48,5403.60
ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),2008,YAM,405.00,9.06,3669.30
ASHANTI,ADANSI  SOUTH,2008,YAM,760.00,9.79,7440.40
ASHANTI,ASANTE AKIM NORTH,2008,YAM,780.00,10.66,8314.80
ASHANTI,ASANTE AKIM SOUTH,2008,YAM,265.00,10.30,2729.50
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,2008,YAM,20.00,8.76,175.20
BRONG AHAFO, SUNYANI MUNICIPAL ,2008,MAIZE,31730.00,1.36,43152.80
BRONG AHAFO,ASUTIFI,2008,MAIZE,6711.00,1.40,9395.40
BRONG AHAFO, WENCHI MUNICIPAL ,2008,MAIZE,9200.00,1.38,12696.00
BRONG AHAFO,DORMA AHENKRO,2008,MAIZE,32850.00,2.20,72270.00
BRONG AHAFO,BEREKUM,2008,MAIZE,7547.00,1.80,13584.60
BRONG AHAFO,TANO NORTH,2008,MAIZE,3850.00,2.10,8085.00
BRONG AHAFO,TANO SOUTH,2008,MAIZE,4500.00,2.10,9450.00
BRONG AHAFO,SENE,2008,MAIZE,5500.00,1.90,10450.00
BRONG AHAFO,NKORANZA,2008,MAIZE,31133.00,2.40,74719.20
BRONG AHAFO,TECHIMAN MUNICIPAL,2008,MAIZE,12500.00,2.20,27500.00
BRONG AHAFO,ASUNAFO NORTH,2008,MAIZE,4700.00,1.85,8695.00
BRONG AHAFO,ASUNAFO SOUTH,2008,MAIZE,4750.00,1.95,9262.50
BRONG AHAFO,JAMAN NORTH,2008,MAIZE,3620.00,2.00,7240.00
BRONG AHAFO,JAMAN SOUTH,2008,MAIZE,5927.00,2.00,11854.00
BRONG AHAFO,KINTAMPO NORTH,2008,MAIZE,22231.00,2.20,48908.20
BRONG AHAFO,KINTAMPO SOUTH,2008,MAIZE,12200.00,2.00,24400.00
BRONG AHAFO,ATEBUBU -AMANTIN,2008,MAIZE,1300.00,2.10,2730.00
BRONG AHAFO,PRU,2008,MAIZE,2050.00,2.10,4305.00
BRONG AHAFO,TAIN,2008,MAIZE,2100.00,1.90,3990.00
BRONG AHAFO,ASUTIFI,2008,RICE,152.00,1.46,221.92
BRONG AHAFO,DORMA AHENKRO,2008,RICE,950.00,1.10,1045.00
BRONG AHAFO,TANO NORTH,2008,RICE,138.00,1.75,241.50
BRONG AHAFO,TANO SOUTH,2008,RICE,94.00,1.75,164.50
BRONG AHAFO,SENE,2008,RICE,1710.00,1.40,2394.00
BRONG AHAFO,ASUNAFO NORTH,2008,RICE,102.00,1.08,110.16
BRONG AHAFO,ASUNAFO SOUTH,2008,RICE,98.00,1.08,105.84
BRONG AHAFO,KINTAMPO NORTH,2008,RICE,38.00,1.50,57.00
BRONG AHAFO,ATEBUBU -AMANTIN,2008,RICE,190.00,1.70,323.00
BRONG AHAFO,PRU,2008,RICE,95.00,1.55,147.25
BRONG AHAFO, SUNYANI MUNICIPAL ,2008,CASSAVA,9350.00,10.60,99110.00
BRONG AHAFO,ASUTIFI,2008,CASSAVA,12987.00,16.80,218181.60
BRONG AHAFO, WENCHI MUNICIPAL ,2008,CASSAVA,9693.00,13.60,131824.80
BRONG AHAFO,DORMA AHENKRO,2008,CASSAVA,12800.00,13.30,170240.00
BRONG AHAFO,BEREKUM,2008,CASSAVA,7080.00,14.80,104784.00
BRONG AHAFO,TANO NORTH,2008,CASSAVA,3025.00,16.50,49912.50
BRONG AHAFO,TANO SOUTH,2008,CASSAVA,9510.00,16.40,155964.00
BRONG AHAFO,SENE,2008,CASSAVA,20500.00,12.60,258300.00
BRONG AHAFO,NKORANZA,2008,CASSAVA,7071.00,16.30,115257.30
BRONG AHAFO,TECHIMAN MUNICIPAL,2008,CASSAVA,8517.00,16.10,137123.70
BRONG AHAFO,ASUNAFO NORTH,2008,CASSAVA,3870.00,15.10,58437.00
BRONG AHAFO,ASUNAFO SOUTH,2008,CASSAVA,13848.00,15.20,210489.60
BRONG AHAFO,JAMAN NORTH,2008,CASSAVA,1533.00,13.36,20480.88
BRONG AHAFO,JAMAN SOUTH,2008,CASSAVA,4804.00,13.36,64181.44
BRONG AHAFO,KINTAMPO NORTH,2008,CASSAVA,4860.00,16.80,81648.00
BRONG AHAFO,KINTAMPO SOUTH,2008,CASSAVA,3800.00,16.90,64220.00
BRONG AHAFO,ATEBUBU -AMANTIN,2008,CASSAVA,21295.00,12.50,266187.50
BRONG AHAFO,PRU,2008,CASSAVA,13592.00,12.50,169900.00
BRONG AHAFO,TAIN,2008,CASSAVA,9212.00,12.30,113307.60
BRONG AHAFO, SUNYANI MUNICIPAL ,2008,YAM,320.00,17.10,5472.00
BRONG AHAFO,ASUTIFI,2008,YAM,163.00,11.00,1793.00
BRONG AHAFO, WENCHI MUNICIPAL ,2008,YAM,8847.00,15.70,138897.90
BRONG AHAFO,DORMA AHENKRO,2008,YAM,850.00,13.50,11475.00
BRONG AHAFO,BEREKUM,2008,YAM,1050.00,11.45,12022.50
