REGION,DISTRICT,YEAR,CROP,AREA (HA),YIELD (MT/HA),PRODUCTION (MT),TOTAL RAINFALL(MM),,
WESTERN,BIBIANI-ANHWIASO-BEKWAI,1/1/2008,CASSAVA,"7,412.00",9.3,"68,931.60",1518,,
WESTERN,SEFWI-WIAWSO,1/1/2008,CASSAVA,"9,942.00",10.5,"104,391.00",1518,,
WESTERN,BIA,1/1/2008,CASSAVA,"3,324.00",10.8,"35,899.20",1518,,
WESTERN,JUABESO,1/1/2008,CASSAVA,"4,996.00",10.8,"53,956.80",1518,,
WESTERN,SHAMA AHANTA EAST,1/1/2008,YAM,31,3.6,111.6,1518,,
WESTERN,WEST AHANTA,1/1/2008,YAM,32,3.3,105.6,1518,,
WESTERN,MPORHOR WASSA EAST,1/1/2008,YAM,202,5.6,"1,131.20",1518,,
WESTERN,WASSA WEST,1/1/2008,YAM,186,4.8,892.8,1518,,
WESTERN,EAST NZEMA,1/1/2008,YAM,32,3.4,108.8,1518,,
WESTERN,JOMORO,1/1/2008,YAM,22,3.2,70.4,1518,,
WESTERN,AMENFI EAST,1/1/2008,YAM,522,7.38,"3,852.36",1518,,
WESTERN,AMENFI  WEST (WASSA AMENFI),1/1/2008,YAM,577,6.45,"3,721.65",1518,,
WESTERN,AOWIN -SUAMAN,1/1/2008,YAM,"1,073.00",6.8,"7,296.40",1518,,
WESTERN,BIBIANI-ANHWIASO-BEKWAI,1/1/2008,YAM,"2,549.00",7.3,"18,607.70",1518,,
WESTERN,SEFWI-WIAWSO,1/1/2008,YAM,"3,080.00",8.68,"26,734.40",1518,,
WESTERN,BIA,1/1/2008,YAM,"1,753.00",10,"17,530.00",1518,,
WESTERN,JUABESO,1/1/2008,YAM,"1,921.00",10.18,"19,555.78",1518,,
CENTRAL,UPPER DENKYIRA,1/1/2008,MAIZE,"9,570.00",2.4,"22,968.00",1361,,
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1/1/2008,MAIZE,"6,281.00",2.8,"17,586.80",1361,,
CENTRAL,ASSIN SOUTH,1/1/2008,MAIZE,"3,924.00",1.93,"7,573.32",1361,,
CENTRAL,ASSIN NORTH,1/1/2008,MAIZE,"9,460.00",1.49,"14,104.86",1361,,
CENTRAL,ABURA-ASEBU-KWAMANKESE,1/1/2008,MAIZE,"3,974.52",1.84,"7,303.18",1361,,
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,1/1/2008,MAIZE,"4,799.30",2,"9,574.60",1361,,
CENTRAL,MFANTSIMAN,1/1/2008,MAIZE,"13,168.65",2.4,"31,604.76",1361,,
CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,1/1/2008,MAIZE,"12,840.30",1.5,"19,260.45",1361,,
CENTRAL,AJUMAKO-ENYAN-ESIAM,1/1/2008,MAIZE,"6,371.20",2,"12,742.40",1361,,
CENTRAL,AWUTU-EFUTU-SENYA,1/1/2008,MAIZE,"20,253.20",1.81,"36,577.28",1361,,
CENTRAL,GOMOA,1/1/2008,MAIZE,"7,699.25",2.5,"19,248.13",1361,,
CENTRAL,CAPE COAST,1/1/2008,MAIZE,"8,038.00",1.24,"9,967.12",1361,,
CENTRAL,AGONA,1/1/2008,MAIZE,"6,118.20",2.73,"16,702.69",1361,,
CENTRAL,UPPER DENKYIRA,1/1/2008,RICE,726,1.2,871.2,1361,,
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1/1/2008,RICE,555.5,1.2,666.6,1361,,
CENTRAL,ASSIN SOUTH,1/1/2008,RICE,550,1.2,660,1361,,
CENTRAL,ASSIN NORTH,1/1/2008,RICE,"1,886.50",1.2,"2,263.80",1361,,
CENTRAL,ABURA-ASEBU-KWAMANKESE,1/1/2008,RICE,128.7,1.37,175.68,1361,,
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,1/1/2008,RICE,42.9,1.2,51.48,1361,,
CENTRAL,GOMOA,1/1/2008,RICE,45,2.9,130.5,1361,,
CENTRAL,UPPER DENKYIRA,1/1/2008,CASSAVA,"10,780.00",20.54,"221,421.20",1361,,
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1/1/2008,CASSAVA,"9,719.60",32,"311,027.20",1361,,
CENTRAL,ASSIN SOUTH,1/1/2008,CASSAVA,"4,061.20",12.69,"51,536.63",1361,,
CENTRAL,ASSIN NORTH,1/1/2008,CASSAVA,"10,230.00",13.06,"133,624.26",1361,,
CENTRAL,ABURA-ASEBU-KWAMANKESE,1/1/2008,CASSAVA,"5,011.27",9.07,"45,462.24",1361,,
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,1/1/2008,CASSAVA,"4,473.70",13.35,"59,723.90",1361,,
CENTRAL,MFANTSIMAN,1/1/2008,CASSAVA,"11,004.35",9.44,"103,881.06",1361,,
CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,1/1/2008,CASSAVA,"14,931.40",13.8,"206,053.32",1361,,
CENTRAL,AJUMAKO-ENYAN-ESIAM,1/1/2008,CASSAVA,"7,150.00",19.32,"138,138.00",1361,,
CENTRAL,AWUTU-EFUTU-SENYA,1/1/2008,CASSAVA,"30,782.40",13.13,"404,019.00",1361,,
CENTRAL,GOMOA,1/1/2008,CASSAVA,"3,824.00",14.77,"56,480.48",1361,,
CENTRAL,CAPE COAST,1/1/2008,CASSAVA,"7,488.00",16.47,"123,327.36",1361,,
CENTRAL,AGONA,1/1/2008,CASSAVA,"6,421.80",21.44,"137,689.81",1361,,
CENTRAL,UPPER DENKYIRA,1/1/2008,YAM,429,5.8,"2,488.20",1361,,
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1/1/2008,YAM,371.8,4.5,"1,673.10",1361,,
CENTRAL,ASSIN SOUTH,1/1/2008,YAM,77,5.45,419.65,1361,,
CENTRAL,ASSIN NORTH,1/1/2008,YAM,201.3,5.51,"1,109.67",1361,,
CENTRAL,ABURA-ASEBU-KWAMANKESE,1/1/2008,YAM,103.5,5.36,554.24,1361,,
CENTRAL,AJUMAKO-ENYAN-ESIAM,1/1/2008,YAM,865.7,4.4,"3,809.08",1361,,
CENTRAL,AWUTU-EFUTU-SENYA,1/1/2008,YAM,234.3,5.57,"1,303.88",1361,,
CENTRAL,GOMOA,1/1/2008,YAM,22.5,5.5,123.75,1361,,
CENTRAL,AGONA,1/1/2008,YAM,597.3,9.07,"5,418.71",1361,,
EASTERN,BIRIM SOUTH,1/1/2008,MAIZE,"8,500.00",2.1,"17,850.00",1454,,
EASTERN,WEST AKIM,1/1/2008,MAIZE,"8,600.00",2.2,"18,920.00",1454,,
EASTERN,SUHUM KRABOA COALTAR,1/1/2008,MAIZE,"8,304.00",1.9,"15,777.60",1454,,
EASTERN,AKUAPIM SOUTH,1/1/2008,MAIZE,"3,800.00",1.6,"6,080.00",1454,,
EASTERN,AKUAPIM NORTH,1/1/2008,MAIZE,"9,350.00",2,"18,700.00",1454,,
EASTERN,NEW JUABEN,1/1/2008,MAIZE,"3,471.00",2.3,"7,983.30",1454,,
EASTERN,YILO KROBO,1/1/2008,MAIZE,"9,500.00",2.1,"19,950.00",1454,,
EASTERN,EAST AKIM,1/1/2008,MAIZE,"2,500.00",1.8,"4,500.00",1454,,
EASTERN,ATIWA,1/1/2008,MAIZE,"4,500.00",1.7,"7,650.00",1454,,
EASTERN,KWAEBIBIREM,1/1/2008,MAIZE,"6,500.00",2.3,"14,950.00",1454,,
EASTERN,BIRIM NORTH,1/1/2008,MAIZE,"7,000.00",2.1,"14,700.00",1454,,
EASTERN,KWAHU WEST,1/1/2008,MAIZE,"2,324.00",2.3,"5,345.20",1454,,
EASTERN,KWAHU WEST,1/1/2008,MAIZE,"4,100.00",1.6,"6,560.00",1454,,
EASTERN,FANTEAKWA,1/1/2008,MAIZE,"13,260.00",1.8,"23,868.00",1454,,
EASTERN,AFRAM PLAINS,1/1/2008,MAIZE,"28,800.00",2.1,"60,480.00",1454,,
EASTERN,ASUOGYAMAN,1/1/2008,MAIZE,"8,757.00",1.6,"14,011.20",1454,,
EASTERN,MANYA KROBO,1/1/2008,MAIZE,"13,045.00",1.8,"23,481.00",1454,,
EASTERN,BIRIM SOUTH,1/1/2008,RICE,"4,000.00",2.4,"9,600.00",1454,,
EASTERN,EAST AKIM,1/1/2008,RICE,0.5,1.5,0.75,1454,,
EASTERN,ATIWA,1/1/2008,RICE,157,2.1,329.7,1454,,
EASTERN,KWAEBIBIREM,1/1/2008,RICE,"1,200.00",3.3,"3,960.00",1454,,
EASTERN,BIRIM NORTH,1/1/2008,RICE,689,3,"2,067.00",1454,,
EASTERN,MANYA KROBO,1/1/2008,RICE,"1,000.00",1.8,"1,800.00",1454,,
EASTERN,BIRIM SOUTH,1/1/2008,CASSAVA,"15,053.00",14.2,"213,752.60",1454,,
EASTERN,WEST AKIM,1/1/2008,CASSAVA,"12,726.00",16.5,"209,979.00",1454,,
EASTERN,SUHUM KRABOA COALTAR,1/1/2008,CASSAVA,"12,800.00",15,"192,000.00",1454,,
EASTERN,AKUAPIM SOUTH,1/1/2008,CASSAVA,"9,200.00",26,"239,200.00",1454,,
EASTERN,AKUAPIM NORTH,1/1/2008,CASSAVA,"11,900.00",20,"238,000.00",1454,,
EASTERN,NEW JUABEN,1/1/2008,CASSAVA,"6,600.00",13.9,"91,740.00",1454,,
EASTERN,YILO KROBO,1/1/2008,CASSAVA,"8,425.00",14.1,"118,792.50",1454,,
EASTERN,EAST AKIM,1/1/2008,CASSAVA,"9,400.00",19,"178,600.00",1454,,
EASTERN,ATIWA,1/1/2008,CASSAVA,"6,600.00",15,"99,000.00",1454,,
EASTERN,KWAEBIBIREM,1/1/2008,CASSAVA,"8,500.00",20,"170,000.00",1454,,
EASTERN,BIRIM NORTH,1/1/2008,CASSAVA,"10,026.00",16,"160,416.00",1454,,
EASTERN,KWAHU WEST,1/1/2008,CASSAVA,"8,200.00",16,"131,200.00",1454,,
EASTERN,KWAHU WEST,1/1/2008,CASSAVA,"13,671.00",15.3,"209,166.30",1454,,
EASTERN,FANTEAKWA,1/1/2008,CASSAVA,"11,324.00",15,"169,860.00",1454,,
EASTERN,AFRAM PLAINS,1/1/2008,CASSAVA,"15,465.00",13.2,"204,138.00",1454,,
EASTERN,ASUOGYAMAN,1/1/2008,CASSAVA,"11,057.00",13.3,"147,058.10",1454,,
EASTERN,MANYA KROBO,1/1/2008,CASSAVA,"11,419.00",13.7,"156,440.30",1454,,
EASTERN,BIRIM SOUTH,1/1/2008,YAM,"1,300.00",13,"16,900.00",1454,,
EASTERN,WEST AKIM,1/1/2008,YAM,700,19.7,"13,790.00",1454,,
EASTERN,SUHUM KRABOA COALTAR,1/1/2008,YAM,350,15.4,"5,390.00",1454,,
EASTERN,AKUAPIM SOUTH,1/1/2008,YAM,250,15,"3,750.00",1454,,
EASTERN,AKUAPIM NORTH,1/1/2008,YAM,250,15,"3,750.00",1454,,
EASTERN,NEW JUABEN,1/1/2008,YAM,300,15,"4,500.00",1454,,
EASTERN,YILO KROBO,1/1/2008,YAM,"1,735.00",12.4,"21,514.00",1454,,
EASTERN,EAST AKIM,1/1/2008,YAM,500,13,"6,500.00",1454,,
EASTERN,ATIWA,1/1/2008,YAM,475,14,"6,650.00",1454,,
EASTERN,KWAEBIBIREM,1/1/2008,YAM,300,14,"4,200.00",1454,,
EASTERN,BIRIM NORTH,1/1/2008,YAM,800,12,"9,600.00",1454,,
EASTERN,KWAHU WEST,1/1/2008,YAM,"1,250.00",13.5,"16,875.00",1454,,
EASTERN,KWAHU WEST,1/1/2008,YAM,"1,150.00",14,"16,100.00",1454,,
EASTERN,FANTEAKWA,1/1/2008,YAM,"1,498.00",13.6,"20,372.80",1454,,
EASTERN,AFRAM PLAINS,1/1/2008,YAM,"26,000.00",19.4,"504,400.00",1454,,
EASTERN,ASUOGYAMAN,1/1/2008,YAM,724,17.2,"12,452.80",1454,,
EASTERN,MANYA KROBO,1/1/2008,YAM,"1,100.00",18.3,"20,130.00",1454,,
VOLTA,NORTH TONGU,1/1/2008,MAIZE,"1,283.00",1.2,"1,539.60",1436,,
VOLTA,SOUTH TONGU (SOGAKOPE),1/1/2008,MAIZE,"1,518.00",1.1,"1,669.80",1436,,
VOLTA,AKATSI,1/1/2008,MAIZE,"2,571.00",1.5,"3,856.50",1436,,
VOLTA,KETA,1/1/2008,MAIZE,677,1,677,1436,,
VOLTA,KETU,1/1/2008,MAIZE,"5,400.00",1.2,"6,480.00",1436,,
VOLTA,NORTH DAYI (KPANDO),1/1/2008,MAIZE,"2,522.00",1.52,"3,833.44",1436,,
VOLTA,SOUTH DAYI,1/1/2008,MAIZE,"1,750.00",1.2,"2,100.00",1436,,
VOLTA,HOHOE MUNICIPAL,1/1/2008,MAIZE,"6,800.00",1.7,"11,560.00",1436,,
VOLTA,JASIKAN,1/1/2008,MAIZE,"3,040.00",1.9,"5,776.00",1436,,
VOLTA,KADJEBI,1/1/2008,MAIZE,"3,072.00",1.8,"5,529.60",1436,,
VOLTA,NKWANTA,1/1/2008,MAIZE,"8,200.00",1.9,"15,580.00",1436,,
VOLTA,KRACHI WEST,1/1/2008,MAIZE,"2,200.00",2.2,"4,840.00",1436,,
VOLTA,KRACHI EAST,1/1/2008,MAIZE,"1,570.00",2,"3,140.00",1436,,
VOLTA,HO MUNICIPAL,1/1/2008,MAIZE,"2,756.00",1.26,"3,472.56",1436,,
VOLTA,ADAKLU ANYIGBE,1/1/2008,MAIZE,"1,869.00",1.5,"2,803.50",1436,,
VOLTA,NORTH TONGU,1/1/2008,RICE,"1,400.00",1.5,"2,100.00",1436,,
VOLTA,SOUTH TONGU (SOGAKOPE),1/1/2008,RICE,110,1.6,176,1436,,
VOLTA,KETU,1/1/2008,RICE,"1,400.00",5,"7,000.00",1436,,
VOLTA,NORTH DAYI (KPANDO),1/1/2008,RICE,456,2.2,"1,003.20",1436,,
VOLTA,SOUTH DAYI,1/1/2008,RICE,300,1,300,1436,,
VOLTA,HOHOE MUNICIPAL,1/1/2008,RICE,"5,750.00",2.5,"14,375.00",1436,,
VOLTA,JASIKAN,1/1/2008,RICE,"1,730.00",2.5,"4,325.00",1436,,
VOLTA,KADJEBI,1/1/2008,RICE,"1,947.00",2.1,"4,088.70",1436,,
VOLTA,NKWANTA,1/1/2008,RICE,"2,000.00",2,"4,000.00",1436,,
VOLTA,KRACHI WEST,1/1/2008,RICE,"1,400.00",2.1,"2,940.00",1436,,
VOLTA,KRACHI EAST,1/1/2008,RICE,"1,010.00",2.4,"2,424.00",1436,,
VOLTA,HO MUNICIPAL,1/1/2008,RICE,381,2,762,1436,,
VOLTA,ADAKLU ANYIGBE,1/1/2008,RICE,250,1.8,450,1436,,
VOLTA,NORTH TONGU,1/1/2008,CASSAVA,"2,518.00",9.2,"23,165.60",1436,,
VOLTA,SOUTH TONGU (SOGAKOPE),1/1/2008,CASSAVA,"2,580.00",10,"25,800.00",1436,,
VOLTA,AKATSI,1/1/2008,CASSAVA,"2,625.00",11.9,"31,237.50",1436,,
VOLTA,KETA,1/1/2008,CASSAVA,"1,260.00",7.8,"9,828.00",1436,,
VOLTA,KETU,1/1/2008,CASSAVA,"10,165.00",10.9,"110,798.50",1436,,
VOLTA,NORTH DAYI (KPANDO),1/1/2008,CASSAVA,"4,520.00",10,"45,200.00",1436,,
VOLTA,SOUTH DAYI,1/1/2008,CASSAVA,"1,300.00",10.5,"13,650.00",1436,,
VOLTA,HOHOE MUNICIPAL,1/1/2008,CASSAVA,"9,200.00",9,"82,800.00",1436,,
VOLTA,JASIKAN,1/1/2008,CASSAVA,"6,350.00",15,"95,250.00",1436,,
VOLTA,KADJEBI,1/1/2008,CASSAVA,"4,320.00",13.7,"59,184.00",1436,,
VOLTA,NKWANTA,1/1/2008,CASSAVA,"30,300.00",17,"515,100.00",1436,,
VOLTA,KRACHI WEST,1/1/2008,CASSAVA,"11,100.00",13.3,"147,630.00",1436,,
VOLTA,KRACHI EAST,1/1/2008,CASSAVA,"9,300.00",15,"139,500.00",1436,,
VOLTA,HO MUNICIPAL,1/1/2008,CASSAVA,"3,680.00",12,"44,160.00",1436,,
VOLTA,ADAKLU ANYIGBE,1/1/2008,CASSAVA,"1,300.00",10.71,"13,923.00",1436,,
VOLTA,NORTH DAYI (KPANDO),1/1/2008,YAM,600,8.5,"5,100.00",1436,,
VOLTA,SOUTH DAYI,1/1/2008,YAM,35,9,315,1436,,
VOLTA,HOHOE MUNICIPAL,1/1/2008,YAM,"1,300.00",8,"10,400.00",1436,,
VOLTA,JASIKAN,1/1/2008,YAM,"1,200.00",11,"13,200.00",1436,,
VOLTA,KADJEBI,1/1/2008,YAM,"1,021.00",9.8,"10,005.80",1436,,
VOLTA,NKWANTA,1/1/2008,YAM,"8,600.00",17.5,"150,500.00",1436,,
VOLTA,KRACHI WEST,1/1/2008,YAM,"5,800.00",13,"75,400.00",1436,,
VOLTA,KRACHI EAST,1/1/2008,YAM,"6,100.00",13,"79,300.00",1436,,
VOLTA,HO MUNICIPAL,1/1/2008,YAM,792,9,"7,128.00",1436,,
VOLTA,ADAKLU ANYIGBE,1/1/2008,YAM,99,8.5,841.5,1436,,
ASHANTI,BEKWAI MUNI (AMANSIE EAST),1/1/2008,MAIZE,"4,500.00",1.2,"5,400.00",1412,,
ASHANTI,AMANSIE CENTRAL,1/1/2008,MAIZE,"4,360.00",1.2,"5,232.00",1412,,
ASHANTI,AMANSIE WEST,1/1/2008,MAIZE,"2,670.00",1.2,"3,204.00",1412,,
ASHANTI,EJURA SEKYEREDUMASE,1/1/2008,MAIZE,"17,500.00",1.25,"21,875.00",1412,,
ASHANTI,SEKYERE WEST ,1/1/2008,MAIZE,"10,200.00",1.25,"12,750.00",1412,,
ASHANTI,SEKYERE EAST,1/1/2008,MAIZE,"9,400.00",1.25,"11,750.00",1412,,
ASHANTI,AFIGYA SEKYERE,1/1/2008,MAIZE,"18,001.00",1.3,"23,401.30",1412,,
ASHANTI,AHAFO ANO NORTH,1/1/2008,MAIZE,"16,001.00",1.3,"20,801.30",1412,,
ASHANTI,AHAFO ANO SOUTH,1/1/2008,MAIZE,"9,886.00",1.3,"12,851.80",1412,,
ASHANTI,ATWIMA MPONUA,1/1/2008,MAIZE,"3,500.00",1.3,"4,550.00",1412,,
ASHANTI,ATWIMA NWABIAGYA,1/1/2008,MAIZE,"6,556.00",1.3,"8,522.80",1412,,
ASHANTI,EJUSU JUABEN,1/1/2008,MAIZE,"3,660.00",1.25,"4,575.00",1412,,
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,1/1/2008,MAIZE,"3,800.00",1.25,"4,750.00",1412,,
ASHANTI,KWABRE ,1/1/2008,MAIZE,"1,150.00",1.25,"1,437.50",1412,,
ASHANTI,OFFINSO,1/1/2008,MAIZE,"8,240.00",1.25,"10,300.00",1412,,
ASHANTI,ADANSI NORTH,1/1/2008,MAIZE,"3,750.00",1.2,"4,500.00",1412,,
ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),1/1/2008,MAIZE,945,1.2,"1,134.00",1412,,
ASHANTI,ADANSI  SOUTH,1/1/2008,MAIZE,"5,358.00",1.2,"6,429.60",1412,,
ASHANTI,ASANTE AKIM NORTH,1/1/2008,MAIZE,"7,895.00",1.25,"9,868.75",1412,,
ASHANTI,ASANTE AKIM SOUTH,1/1/2008,MAIZE,"6,650.00",1.25,"8,312.50",1412,,
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,1/1/2008,MAIZE,"1,002.00",1.2,"1,202.40",1412,,
ASHANTI,BEKWAI MUNI (AMANSIE EAST),1/1/2008,RICE,360,0.98,352.8,1412,,
ASHANTI,AMANSIE CENTRAL,1/1/2008,RICE,30,1,30,1412,,
ASHANTI,AMANSIE WEST,1/1/2008,RICE,180,1,180,1412,,
ASHANTI,EJURA SEKYEREDUMASE,1/1/2008,RICE,850,1.2,"1,020.00",1412,,
ASHANTI,SEKYERE WEST ,1/1/2008,RICE,26,1,26,1412,,
ASHANTI,SEKYERE EAST,1/1/2008,RICE,160,1,160,1412,,
ASHANTI,AFIGYA SEKYERE,1/1/2008,RICE,185,1,185,1412,,
ASHANTI,AHAFO ANO NORTH,1/1/2008,RICE,350,1.2,420,1412,,
ASHANTI,AHAFO ANO SOUTH,1/1/2008,RICE,555,1.4,777,1412,,
ASHANTI,ATWIMA MPONUA,1/1/2008,RICE,740,1.1,814,1412,,
ASHANTI,ATWIMA NWABIAGYA,1/1/2008,RICE,"1,010.00",1.3,"1,313.00",1412,,
ASHANTI,EJUSU JUABEN,1/1/2008,RICE,520,1.4,728,1412,,
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,1/1/2008,RICE,448,1,448,1412,,
ASHANTI,KWABRE ,1/1/2008,RICE,135,0.85,114.75,1412,,
ASHANTI,OFFINSO,1/1/2008,RICE,298,1,298,1412,,
ASHANTI,ADANSI NORTH,1/1/2008,RICE,256,1,256,1412,,
ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),1/1/2008,RICE,76,1,76,1412,,
ASHANTI,ADANSI  SOUTH,1/1/2008,RICE,"1,400.00",1.1,"1,540.00",1412,,
ASHANTI,ASANTE AKIM NORTH,1/1/2008,RICE,"1,350.00",1.1,"1,485.00",1412,,
ASHANTI,ASANTE AKIM SOUTH,1/1/2008,RICE,355,1,355,1412,,
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,1/1/2008,RICE,10,1,10,1412,,
ASHANTI,BEKWAI MUNI (AMANSIE EAST),1/1/2008,CASSAVA,"5,880.00",10.1,"59,388.00",1412,,
ASHANTI,AMANSIE CENTRAL,1/1/2008,CASSAVA,"5,680.00",8.33,"47,314.40",1412,,
ASHANTI,AMANSIE WEST,1/1/2008,CASSAVA,"3,066.00",8.86,"27,164.76",1412,,
ASHANTI,EJURA SEKYEREDUMASE,1/1/2008,CASSAVA,"3,250.00",6.74,"21,905.00",1412,,
ASHANTI,SEKYERE WEST ,1/1/2008,CASSAVA,"7,650.00",10.56,"80,784.00",1412,,
ASHANTI,SEKYERE EAST,1/1/2008,CASSAVA,"5,850.00",9.88,"57,798.00",1412,,
ASHANTI,AFIGYA SEKYERE,1/1/2008,CASSAVA,"7,250.00",9.57,"69,382.50",1412,,
ASHANTI,AHAFO ANO NORTH,1/1/2008,CASSAVA,"6,960.00",9.99,"69,530.40",1412,,
ASHANTI,AHAFO ANO SOUTH,1/1/2008,CASSAVA,"10,002.00",9.15,"91,518.30",1412,,
ASHANTI,ATWIMA MPONUA,1/1/2008,CASSAVA,"5,006.00",11.8,"59,070.80",1412,,
ASHANTI,ATWIMA NWABIAGYA,1/1/2008,CASSAVA,"9,655.00",12.11,"116,922.05",1412,,
ASHANTI,EJUSU JUABEN,1/1/2008,CASSAVA,"5,660.00",10.61,"60,052.60",1412,,
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,1/1/2008,CASSAVA,"4,860.00",9.59,"46,607.40",1412,,
ASHANTI,KWABRE ,1/1/2008,CASSAVA,"6,160.00",11.39,"70,162.40",1412,,
ASHANTI,OFFINSO,1/1/2008,CASSAVA,"6,200.00",10.54,"65,348.00",1412,,
ASHANTI,ADANSI NORTH,1/1/2008,CASSAVA,"4,908.00",10.78,"52,908.24",1412,,
ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),1/1/2008,CASSAVA,305,10.21,"3,114.05",1412,,
ASHANTI,ADANSI  SOUTH,1/1/2008,CASSAVA,"4,850.00",12.22,"59,267.00",1412,,
ASHANTI,ASANTE AKIM NORTH,1/1/2008,CASSAVA,"4,500.00",13.34,"60,030.00",1412,,
ASHANTI,ASANTE AKIM SOUTH,1/1/2008,CASSAVA,"6,750.00",9.6,"64,800.00",1412,,
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,1/1/2008,CASSAVA,"2,500.00",8.86,"22,150.00",1412,,
ASHANTI,BEKWAI MUNI (AMANSIE EAST),1/1/2008,YAM,298,11.43,"3,406.14",1412,,
ASHANTI,AMANSIE CENTRAL,1/1/2008,YAM,760,9.27,"7,045.20",1412,,
